State,Census,Base,2010,2011,2012,2013
Alabama,4.779.736,4.779.758,4.785.570,4.801.627,4.817.528,4.833.722
Alaska,710.231,710.231,713.868,723.375,730.307,735.132
Arizona,6.392.017,6.392.015,6.408.790,6.468.796,6.551.149,6.626.624
Arkansas,2.915.918,2.915.916,2.922.280,2.938.506,2.949.828,2.959.373
California,37.253.956,37.253.959,37.333.601,37.668.681,37.999.878,38.332.521
Colorado,5.029.196,5.029.196,5.048.196,5.118.400,5.189.458,5.268.367
Connecticut,3.574.097,3.574.097,3.579.210,3.588.948,3.591.765,3.596.080
Delaware,897.934,897.936,899.711,907.985,917.053,925.749
District of Columbia,601.723,601.767,605.125,619.624,633.427,646.449
Florida,18.801.310,18.802.690,18.846.054,19.083.482,19.320.749,19.552.860
Georgia,9.687.653,9.687.663,9.713.248,9.810.181,9.915.646,9.992.167
Hawaii,1.360.301,1.360.301,1.363.731,1.376.897,1.390.090,1.404.054
Idaho,1.567.582,1.567.652,1.570.718,1.583.930,1.595.590,1.612.136
Illinois,12.830.632,12.830.632,12.839.695,12.855.970,12.868.192,12.882.135
Indiana,6.483.802,6.483.797,6.489.965,6.516.336,6.537.782,6.570.902
Iowa,3.046.355,3.046.857,3.050.314,3.064.102,3.075.039,3.090.416
Kansas,2.853.118,2.853.116,2.858.910,2.869.548,2.885.398,2.893.957
Kentucky,4.339.367,4.339.357,4.347.698,4.366.869,4.379.730,4.395.295
Louisiana,4.533.372,4.533.372,4.545.392,4.575.197,4.602.134,4.625.470
Maine,1.328.361,1.328.361,1.327.366,1.327.844,1.328.501,1.328.302
Maryland,5.773.552,5.773.623,5.787.193,5.840.241,5.884.868,5.928.814
Massachusetts,6.547.629,6.547.629,6.563.263,6.606.285,6.645.303,6.692.824
Michigan,9.883.640,9.883.701,9.876.149,9.874.589,9.882.519,9.895.622
Minnesota,5.303.925,5.303.925,5.310.337,5.347.108,5.379.646,5.420.380
Mississippi,2.967.297,2.967.299,2.970.047,2.977.886,2.986.450,2.991.207
Missouri,5.988.927,5.988.923,5.996.063,6.010.065,6.024.522,6.044.171
Montana,989.415,989.417,990.527,997.600,1.005.494,1.015.165
Nebraska,1.826.341,1.826.341,1.829.838,1.841.749,1.855.350,1.868.516
Nevada,2.700.551,2.700.552,2.703.230,2.717.951,2.754.354,2.790.136
New Hampshire,1.316.470,1.316.469,1.316.614,1.318.075,1.321.617,1.323.459
New Jersey,8.791.894,8.791.909,8.802.707,8.836.639,8.867.749,8.899.339
New Mexico,2.059.179,2.059.183,2.064.982,2.077.919,2.083.540,2.085.287
New York,19.378.102,19.378.105,19.398.228,19.502.728,19.576.125,19.651.127
North Carolina,9.535.483,9.535.471,9.559.533,9.651.377,9.748.364,9.848.060
North Dakota,672.591,672.591,674.344,684.867,701.345,723.393
Ohio,11.536.504,11.536.503,11.545.435,11.549.772,11.553.031,11.570.808
Oklahoma,3.751.351,3.751.357,3.759.263,3.785.534,3.815.780,3.850.568
Oregon,3.831.074,3.831.073,3.837.208,3.867.937,3.899.801,3.930.065
Pennsylvania,12.702.379,12.702.379,12.710.472,12.741.310,12.764.475,12.773.801
Rhode Island,1.052.567,1.052.567,1.052.669,1.050.350,1.050.304,1.051.511
South Carolina,4.625.364,4.625.360,4.636.361,4.673.509,4.723.417,4.774.839
South Dakota,814.180,814.180,816.211,823.772,834.047,844.877
Tennessee,6.346.105,6.346.113,6.356.683,6.398.361,6.454.914,6.495.978
Texas,25.145.561,25.145.561,25.245.178,25.640.909,26.060.796,26.448.193
Utah,2.763.885,2.763.885,2.774.424,2.814.784,2.854.871,2.900.872
Vermont,625.741,625.745,625.793,626.320,625.953,626.630
Virginia,8.001.024,8.001.031,8.024.417,8.105.850,8.186.628,8.260.405
Washington,6.724.540,6.724.543,6.742.256,6.821.481,6.895.318,6.971.406
West Virginia,1.852.994,1.852.999,1.854.146,1.855.184,1.856.680,1.854.304
Wisconsin,5.686.986,5.686.983,5.689.060,5.708.785,5.724.554,5.742.713
Wyoming,563.626,563.626,564.222,567.329,576.626,582.658
